"","Address","Type","Color","ExtendedType"
"499","21666326","NORM_C","Green","Norm_C30"
"500","22667482","NORM_C","Green","Norm_C38"
"501","22786434","NORM_C","Green","Norm_C41"
"502","23684492","NORM_C","Green","Norm_C52"
"503","23770483","NORM_T","Purple","Norm_T41"
"504","24711322","NORM_C","Green","Norm_C47"
"505","24744355","NORM_G","Blue","Norm_G20"
"506","25661400","NORM_G","Blue","Norm_G19"
"507","25717484","NORM_C","Green","Norm_C9"
"508","25790300","NORM_T","Purple","Norm_T9"
"509","26704364","NORM_T","Purple","Norm_T15"
"510","26787359","NORM_C","Green","Norm_C1"
"511","27756327","NORM_C","Green","Norm_C2"
"512","28673402","NORM_C","Green","Norm_C61"
"513","28724405","NORM_G","Blue","Norm_G31"
"514","28790326","NORM_T","Purple","Norm_T49"
"515","29618498","NORM_T","Purple","Norm_T51"
"516","29769366","NORM_C","Green","Norm_C43"
"517","29774306","NORM_T","Purple","Norm_T18"
"518","30750303","NORM_T","Purple","Norm_T13"
"519","31707322","NORM_T","Purple","Norm_T4"
"520","31736353","NORM_T","Purple","Norm_T17"
"521","31747339","NORM_T","Purple","Norm_T57"
"522","31775443","NORM_T","Purple","Norm_T24"
"523","31786303","NORM_A","Red","Norm_A9"
"524","31793441","NORM_A","Red","Norm_A21"
"525","32689421","NORM_G","Blue","Norm_G10"
"526","33613483","NORM_A","Red","Norm_A19"
"527","33644415","NORM_T","Purple","Norm_T19"
"528","33780372","NORM_C","Green","Norm_C50"
"529","33806355","NORM_T","Purple","Norm_T23"
"530","34642451","NORM_C","Green","Norm_C20"
"531","34667361","NORM_T","Purple","Norm_T56"
"532","34710461","NORM_C","Green","Norm_C11"
"533","34720366","NORM_C","Green","Norm_C53"
"534","35689446","NORM_G","Blue","Norm_G4"
"535","35717396","NORM_C","Green","Norm_C13"
"536","35810456","NORM_C","Green","Norm_C23"
"537","36621472","NORM_T","Purple","Norm_T12"
"538","36657375","NORM_A","Red","Norm_A31"
"539","36711421","NORM_T","Purple","Norm_T50"
"540","36806404","NORM_G","Blue","Norm_G8"
"541","37766401","NORM_T","Purple","Norm_T7"
"542","38663386","NORM_C","Green","Norm_C15"
"543","38708375","NORM_C","Green","Norm_C18"
"544","38781340","NORM_C","Green","Norm_C48"
"545","39615318","NORM_C","Green","Norm_C6"
"546","39662476","NORM_G","Blue","Norm_G11"
"547","40666333","NORM_T","Purple","Norm_T10"
"548","40720405","NORM_C","Green","Norm_C4"
"549","41745372","NORM_C","Green","Norm_C58"
"550","42624324","NORM_A","Red","Norm_A11"
"551","42722426","NORM_T","Purple","Norm_T14"
"552","43647400","NORM_C","Green","Norm_C29"
"553","43652393","NORM_A","Red","Norm_A1"
"554","43724438","NORM_T","Purple","Norm_T5"
"555","43751315","NORM_C","Green","Norm_C8"
"556","44612371","NORM_T","Purple","Norm_T43"
"557","44631336","NORM_T","Purple","Norm_T34"
"558","44650346","NORM_C","Green","Norm_C16"
"559","45648306","NORM_T","Purple","Norm_T30"
"560","46610354","NORM_T","Purple","Norm_T25"
"561","47715450","NORM_T","Purple","Norm_T60"
"562","47796462","NORM_C","Green","Norm_C42"
"563","48622429","NORM_A","Red","Norm_A17"
"564","48709470","NORM_G","Blue","Norm_G12"
"565","48757493","NORM_G","Blue","Norm_G29"
"566","49636425","NORM_A","Red","Norm_A8"
"567","49675379","NORM_C","Green","Norm_C37"
"568","49714326","NORM_C","Green","Norm_C32"
"569","49729303","NORM_A","Red","Norm_A27"
"570","51606350","NORM_C","Green","Norm_C5"
"571","51668449","NORM_G","Blue","Norm_G17"
"572","51761481","NORM_C","Green","Norm_C28"
"573","52668393","NORM_T","Purple","Norm_T48"
"574","52747473","NORM_T","Purple","Norm_T36"
"575","52761413","NORM_C","Green","Norm_C49"
"576","52807455","NORM_G","Blue","Norm_G21"
"577","54708463","NORM_G","Blue","Norm_G15"
"578","54713306","NORM_T","Purple","Norm_T6"
"579","55662399","NORM_T","Purple","Norm_T26"
"580","55684415","NORM_T","Purple","Norm_T55"
"581","55732329","NORM_C","Green","Norm_C14"
"582","55747501","NORM_C","Green","Norm_C25"
"583","55772319","NORM_T","Purple","Norm_T22"
"584","55799383","NORM_T","Purple","Norm_T38"
"585","56656442","NORM_C","Green","Norm_C40"
"586","56778357","NORM_C","Green","Norm_C3"
"587","56806464","NORM_C","Green","Norm_C57"
"588","57640346","NORM_C","Green","Norm_C60"
"589","57649399","NORM_C","Green","Norm_C26"
"590","57713321","NORM_T","Purple","Norm_T32"
"591","57799313","NORM_C","Green","Norm_C12"
"592","58676498","NORM_G","Blue","Norm_G3"
"593","58768373","NORM_T","Purple","Norm_T53"
"594","59624459","NORM_G","Blue","Norm_G23"
"595","59756399","NORM_C","Green","Norm_C22"
"596","59792509","NORM_T","Purple","Norm_T29"
"597","60810444","NORM_T","Purple","Norm_T1"
"598","61620502","NORM_A","Red","Norm_A14"
"599","61626504","NORM_A","Red","Norm_A26"
"600","61760309","NORM_G","Blue","Norm_G5"
"601","62708477","NORM_C","Green","Norm_C55"
"602","62710448","NORM_A","Red","Norm_A24"
"603","62796402","NORM_A","Red","Norm_A12"
"604","63602392","NORM_A","Red","Norm_A20"
"605","63615474","NORM_C","Green","Norm_C19"
"606","63623369","NORM_T","Purple","Norm_T28"
"607","63709386","NORM_C","Green","Norm_C36"
"608","63724326","NORM_G","Blue","Norm_G14"
"609","63742354","NORM_G","Blue","Norm_G27"
"610","63775337","NORM_G","Blue","Norm_G2"
"611","64609487","NORM_C","Green","Norm_C56"
"612","65610474","NORM_C","Green","Norm_C59"
"613","65622344","NORM_T","Purple","Norm_T59"
"614","67699483","NORM_A","Red","Norm_A13"
"615","67713480","NORM_G","Blue","Norm_G7"
"616","67721390","NORM_G","Blue","Norm_G13"
"617","67735372","NORM_T","Purple","Norm_T33"
"618","67751351","NORM_C","Green","Norm_C7"
"619","67775306","NORM_C","Green","Norm_C33"
"620","68634356","NORM_A","Red","Norm_A29"
"621","68641317","NORM_A","Red","Norm_A16"
"622","68657384","NORM_T","Purple","Norm_T52"
"623","68705481","NORM_T","Purple","Norm_T37"
"624","68726417","NORM_T","Purple","Norm_T45"
"625","69660330","NORM_T","Purple","Norm_T20"
"626","69667417","NORM_G","Blue","Norm_G25"
"627","70603486","NORM_A","Red","Norm_A2"
"628","70622474","NORM_A","Red","Norm_A3"
"629","70700334","NORM_A","Red","Norm_A10"
"630","71670310","NORM_C","Green","Norm_C51"
"631","71678368","NORM_T","Purple","Norm_T3"
"632","72748406","NORM_A","Red","Norm_A23"
"633","73635489","NORM_T","Purple","Norm_T35"
"634","73784382","NORM_C","Green","Norm_C45"
"635","73794434","NORM_C","Green","Norm_C17"
